PLAYER_ID,PLAYER_NAME,SEASON_YEAR,TOTAL_MIN,TOTAL_GAMES,AVG_MIN,FGM,FGA,FG_PCT,FGM_PER_GAME,FGA_PER_GAME,FG2M,FG2A,FG2_PCT,FG2M_PER_GAME,FG2A_PER_GAME,FG3M,FG3A,FG3_PCT,FG3M_PER_GAME,FG3A_PER_GAME,eFG_PCT,FTM,FTA,FT_PCT,FTM_PER_GAME,FTA_PER_GAME,OREB,DREB,REB,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST,TOV,AST_TO_RATIO,AST_PER_GAME,TOV_PER_GAME,STL,BLK,STL_PER_GAME,BLK_PER_GAME,PF,PF_PER_GAME,PTS,PTS_PER_GAME,PLUS_MINUS,player_type
203518,Alex Abrines,2016-17 - 2017-18,2190,143,15.314685314685317,249,632,0.3939873417721519,1.7412587412587412,4.419580419580419,71,164,0.4329268292682927,0.4965034965034965,1.1468531468531469,178,468,0.3803418803418803,1.2447552447552448,3.272727272727273,0.5348101265822784,83,95,0.8736842105263158,0.5804195804195804,0.6643356643356644,44,156,200,0.3076923076923077,1.0909090909090908,1.3986013986013983,68,58,1.1724137931034482,0.4755244755244755,0.4055944055944055,75,16,0.5244755244755245,0.1118881118881118,238,1.6643356643356644,759,5.3076923076923075,29,1
1630173,Precious Achiuwa,2020-21 - 2023-24,5233,263,19.897338403041825,820,1704,0.4812206572769953,3.11787072243346,6.479087452471483,709,1342,0.5283159463487332,2.6958174904942966,5.102661596958175,111,362,0.3066298342541436,0.4220532319391635,1.376425855513308,0.5137910798122066,290,477,0.6079664570230608,1.102661596958175,1.8136882129277567,510,986,1496,1.9391634980988592,3.7490494296577945,5.688212927756654,258,269,0.9591078066914498,0.9809885931558936,1.0228136882129275,134,167,0.5095057034220533,0.6349809885931559,487,1.8517110266159695,2041,7.760456273764259,-145,5
101165,Alex Acker,2005-06 - 2007-08,36,5,7.2,4,16,0.25,0.8,3.2,3,11,0.2727272727272727,0.6,2.2,1,5,0.2,0.2,1.0,0.28125,0,0,0.0,0.0,0.0,1,4,5,0.2,0.8,1.0,4,4,1.0,0.8,0.8,1,0,0.2,0.0,4,0.8,9,1.8,-33,7
203112,Quincy Acy,2012-13 - 2017-18,5277,327,16.137614678899084,579,1296,0.4467592592592592,1.7706422018348624,3.963302752293578,398,788,0.5050761421319797,1.217125382262997,2.4097859327217126,181,508,0.3562992125984252,0.5535168195718655,1.5535168195718654,0.5165895061728395,286,376,0.7606382978723404,0.8746177370030581,1.1498470948012232,306,848,1154,0.9357798165137616,2.5932721712538225,3.529051987767584,209,215,0.972093023255814,0.6391437308868502,0.6574923547400612,139,131,0.4250764525993883,0.400611620795107,641,1.960244648318043,1625,4.969418960244648,-470,7
200801,Hassan Adams,2006-07 - 2007-08,494,61,8.098360655737705,75,135,0.5555555555555556,1.2295081967213115,2.2131147540983607,75,134,0.5597014925373134,1.2295081967213115,2.19672131147541,0,1,0.0,0.0,0.0163934426229508,0.5555555555555556,24,36,0.6666666666666666,0.3934426229508196,0.5901639344262295,35,42,77,0.5737704918032787,0.6885245901639344,1.2622950819672132,13,22,0.5909090909090909,0.2131147540983606,0.360655737704918,17,4,0.2786885245901639,0.0655737704918032,47,0.7704918032786885,174,2.8524590163934427,-17,7
1629121,Jaylen Adams,2018-19 - 2019-20,425,34,12.5,38,110,0.3454545454545454,1.1176470588235294,3.235294117647059,13,36,0.3611111111111111,0.3823529411764705,1.0588235294117647,25,74,0.3378378378378378,0.7352941176470589,2.176470588235294,0.4590909090909091,7,9,0.7777777777777778,0.2058823529411764,0.2647058823529412,11,49,60,0.3235294117647059,1.4411764705882353,1.7647058823529411,65,28,2.3214285714285716,1.911764705882353,0.8235294117647058,14,5,0.4117647058823529,0.1470588235294117,45,1.3235294117647058,108,3.176470588235294,-57,7
203919,Jordan Adams,2014-15 - 2014-15,248,30,8.266666666666667,35,86,0.4069767441860465,1.1666666666666667,2.8666666666666667,25,61,0.4098360655737705,0.8333333333333334,2.033333333333333,10,25,0.4,0.3333333333333333,0.8333333333333334,0.4651162790697674,14,23,0.6086956521739131,0.4666666666666667,0.7666666666666667,9,19,28,0.3,0.6333333333333333,0.9333333333333332,16,14,1.1428571428571428,0.5333333333333333,0.4666666666666667,16,7,0.5333333333333333,0.2333333333333333,24,0.8,94,3.1333333333333333,17,7
203500,Steven Adams,2013-14 - 2023-24,18957,706,26.85127478753541,2713,4619,0.5873565706862958,3.8427762039660056,6.542492917847025,2712,4604,0.5890529973935708,3.8413597733711047,6.521246458923513,1,15,0.0666666666666666,0.0014164305949008,0.0212464589235127,0.5874648192249404,1091,2036,0.5358546168958742,1.545325779036827,2.8838526912181304,2599,3189,5788,3.681303116147309,4.51699716713881,8.19830028328612,1079,1029,1.0485908649173956,1.528328611898017,1.4575070821529743,624,675,0.8838526912181303,0.9560906515580736,1748,2.4759206798866855,6518,9.23229461756374,2234,5
1628389,Bam Adebayo,2017-18 - 2023-24,14672,489,30.004089979550105,2888,5276,0.5473843821076573,5.9059304703476485,10.789366053169736,2865,5172,0.5539443155452436,5.858895705521473,10.576687116564417,23,104,0.2211538461538461,0.0470347648261758,0.2126789366053169,0.5495640636846095,1714,2270,0.7550660792951542,3.505112474437628,4.642126789366054,1081,3194,4275,2.210633946830266,6.531697341513293,8.742331288343559,1707,1057,1.6149479659413437,3.4907975460122698,2.1615541922290387,509,436,1.0408997955010224,0.8916155419222904,1206,2.4662576687116564,7513,15.3640081799591,727,5
202399,Jeff Adrien,2010-11 - 2013-14,1933,136,14.213235294117649,245,513,0.4775828460038986,1.8014705882352944,3.772058823529412,245,511,0.4794520547945205,1.8014705882352944,3.7573529411764706,0,2,0.0,0.0,0.0147058823529411,0.4775828460038986,159,250,0.636,1.1691176470588236,1.838235294117647,198,384,582,1.4558823529411764,2.823529411764706,4.279411764705882,85,82,1.0365853658536586,0.625,0.6029411764705882,46,70,0.3382352941176471,0.5147058823529411,229,1.6838235294117647,649,4.772058823529412,-175,7
