PLAYER_ID,PLAYER_NAME,SEASON_YEAR,TOTAL_MIN,TOTAL_GAMES,AVG_MIN,FGM,FGA,FG_PCT,FGM_PER_GAME,FGA_PER_GAME,FGM2,FG2A,FG2_PCT,FG2M_PERGAME,FG2A_PERGAME,FG3M,FG3A,FG3_PCT,FG3M_PER_GAME,FG3A_PER_GAME,eFG_PCT,FTM,FTA,FT_PCT,FTM_PER_GAME,FTA_PER_GAME,OREB,DREB,REB,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST,TOV,AST_TO_RATIO,AST_PER_GAME,TOV_PER_GAME,STL,BLK,STL_PER_GAME,BLK_PER_GAME,PF,PF_PER_GAME,PTS,PTS_PER_GAME,PLUS_MINUS,player_type
78565,Rob Williams,1982-83 - 1982-83,1440,74,19.45945945945946,191,468.0,0.4081196581196581,2.581081081081081,6.324324324324325,189.0,454.0,0.4162995594713656,2.554054054054054,6.135135135135135,2.0,14.0,0.1428571428571428,0.027027027027027,0.1891891891891892,0.4102564102564102,131,174.0,0.7528735632183908,1.7702702702702702,2.3513513513513513,26.0,72.0,136.0,0.3513513513513513,0.972972972972973,1.837837837837838,361.0,186.0,1.9408602150537635,4.878378378378378,2.5135135135135136,80.0,12.0,1.0810810810810811,0.1621621621621621,221.0,2.9864864864864864,515,6.95945945945946,0,5
78569,Samuel Williams,1981-82 - 1983-84,4041,211,19.151658767772513,610,1187.0,0.5139005897219882,2.890995260663507,5.625592417061611,610.0,1185.0,0.5147679324894515,2.890995260663507,5.61611374407583,0.0,2.0,0.0,0.0,0.0094786729857819,0.5139005897219882,264,400.0,0.66,1.2511848341232228,1.895734597156398,362.0,656.0,1039.0,1.7156398104265402,3.109004739336493,4.924170616113744,145.0,258.0,0.562015503875969,0.6872037914691943,1.2227488151658767,182.0,270.0,0.8625592417061612,1.2796208530805686,609.0,2.8862559241706163,1484,7.033175355450237,0,5
1576,Travis Williams,1997-98 - 1997-98,366,39,9.384615384615383,56,119.0,0.4705882352941176,1.435897435897436,3.051282051282051,56.0,118.0,0.4745762711864407,1.435897435897436,3.0256410256410255,0.0,1.0,0.0,0.0,0.0256410256410256,0.4705882352941176,24,46.0,0.5217391304347826,0.6153846153846154,1.1794871794871795,53.0,39.0,92.0,1.358974358974359,1.0,2.358974358974359,20.0,30.0,0.6666666666666666,0.5128205128205128,0.7692307692307693,18.0,5.0,0.4615384615384615,0.1282051282051282,55.0,1.4102564102564104,136,3.4871794871794872,-37,7
78581,Mike Wilson,1983-84 - 1985-86,293,26,11.26923076923077,36,79.0,0.4556962025316455,1.3846153846153846,3.0384615384615383,36.0,78.0,0.4615384615384615,1.3846153846153846,3.0,0.0,1.0,0.0,0.0,0.0384615384615384,0.4556962025316455,28,38.0,0.7368421052631579,1.0769230769230769,1.4615384615384617,15.0,17.0,32.0,0.5769230769230769,0.6538461538461539,1.2307692307692308,38.0,23.0,1.6521739130434785,1.4615384615384617,0.8846153846153846,14.0,4.0,0.5384615384615384,0.1538461538461538,26.0,1.0,100,3.8461538461538463,0,7
78578,Othell Wilson,1984-85 - 1985-86,1260,74,17.027027027027028,134,291.0,0.4604810996563573,1.8108108108108107,3.932432432432433,131.0,275.0,0.4763636363636364,1.7702702702702702,3.716216216216216,3.0,16.0,0.1875,0.0405405405405405,0.2162162162162162,0.4656357388316151,54,75.0,0.72,0.7297297297297297,1.0135135135135136,37.0,92.0,131.0,0.5,1.2432432432432432,1.7702702702702702,217.0,93.0,2.3333333333333335,2.9324324324324325,1.2567567567567568,74.0,12.0,1.0,0.1621621621621621,122.0,1.648648648648649,325,4.391891891891892,0,4
1027,Trevor Wilson,1990-91 - 1994-95,1530,97,15.77319587628866,226,498.0,0.4538152610441767,2.329896907216495,5.134020618556701,226.0,494.0,0.4574898785425101,2.329896907216495,5.092783505154639,0.0,4.0,0.0,0.0,0.0412371134020618,0.4538152610441767,116,206.0,0.5631067961165048,1.1958762886597938,2.1237113402061856,146.0,193.0,339.0,1.5051546391752575,1.9896907216494848,3.4948453608247423,95.0,116.0,0.8189655172413793,0.979381443298969,1.1958762886597938,47.0,14.0,0.4845360824742268,0.1443298969072164,148.0,1.5257731958762886,568,5.855670103092783,0,2
78589,Kennard Winchester,1990-91 - 1991-92,688,83,8.289156626506024,111,275.0,0.4036363636363636,1.3373493975903614,3.3132530120481927,102.0,253.0,0.4031620553359684,1.2289156626506024,3.0481927710843375,9.0,22.0,0.4090909090909091,0.108433734939759,0.2650602409638554,0.42,43,55.0,0.7818181818181819,0.5180722891566265,0.6626506024096386,40.0,42.0,82.0,0.4819277108433735,0.5060240963855421,0.9879518072289156,33.0,32.0,1.03125,0.3975903614457831,0.3855421686746988,18.0,15.0,0.216867469879518,0.180722891566265,75.0,0.9036144578313252,274,3.3012048192771086,0,7
112,Dontonio Wingfield,1994-95 - 1996-97,1137,111,10.243243243243244,157,401.0,0.3915211970074813,1.4144144144144144,3.612612612612613,110.0,249.0,0.4417670682730923,0.990990990990991,2.243243243243243,47.0,152.0,0.3092105263157895,0.4234234234234234,1.3693693693693694,0.4501246882793017,61,84.0,0.7261904761904762,0.5495495495495496,0.7567567567567568,119.0,152.0,271.0,1.072072072072072,1.3693693693693694,2.441441441441442,76.0,88.0,0.8636363636363636,0.6846846846846847,0.7927927927927928,39.0,15.0,0.3513513513513513,0.1351351351351351,189.0,1.7027027027027026,422,3.8018018018018016,18,7
1456,Randy Wittman,1983-84 - 1990-91,11482,519,22.1233140655106,1815,3617.0,0.5017970693945258,3.4971098265895955,6.96917148362235,1798.0,3565.0,0.5043478260869565,3.464354527938343,6.86897880539499,17.0,52.0,0.3269230769230769,0.0327552986512524,0.1001926782273603,0.5041470832181366,370,491.0,0.7535641547861507,0.7129094412331407,0.9460500963391136,186.0,565.0,751.0,0.3583815028901734,1.0886319845857415,1.4470134874759153,1191.0,435.0,2.7379310344827585,2.2947976878612715,0.838150289017341,258.0,65.0,0.4971098265895953,0.1252408477842004,555.0,1.069364161849711,4017,7.739884393063584,0,7
341,Joe Wolf,1987-88 - 1997-98,9627,589,16.3446519524618,1068,2522.0,0.4234734337827121,1.8132427843803056,4.281833616298812,1050.0,2412.0,0.4353233830845771,1.7826825127334465,4.095076400679117,18.0,110.0,0.1636363636363636,0.030560271646859,0.1867572156196944,0.4270420301348136,331,428.0,0.7733644859813084,0.5619694397283531,0.7266553480475382,595.0,1337.0,1932.0,1.0101867572156198,2.269949066213922,3.2801358234295415,596.0,509.0,1.1709233791748526,1.0118845500848896,0.8641765704584041,257.0,131.0,0.4363327674023769,0.2224108658743633,1273.0,2.161290322580645,2485,4.219015280135824,-123,7
